run,nombre,tipo_usuario,email,contrasena
1111111-1,soyeladmin,admin,admin@gmail.com,aloja123
4444444-4,pedro4,vivienda,ped1@gmail.com,noches123
1111111-2,pedro5,vivienda,ped2@gmail.com,noches123
2222222-3,pedro6,vivienda,ped3@gmail.com,noches123
3333333-4,pedro7,vivienda,ped4@gmail.com,noches123
4444444-5,pedro8,vivienda,ped5@gmail.com,noches123
1111111-3,pedro9,vivienda,ped6@gmail.com,noches123
2222222-4,pedro10,vivienda,ped7@gmail.com,noches123
3333333-5,pedro11,vivienda,,noches123
4444444-6,pedro12,vivienda,ped9@gmail.com,noches123
1111111-4,pedro13,vivienda,ped10@gmail.com,noches123
2222222-5,pedro14,vivienda,,noches123
3333333-6,pedro15,vivienda,ped12@gmail.com,noches123
4444444-7,pedro16,vivienda,ped13@gmail.com,noches123
1111111-5,pedro17,vivienda,ped14@gmail.com,noches123
2222222-6,pedro18,vivienda,ped15@gmail.com,noches123
3333333-7,pedro19,vivienda,ped16@gmail.com,noches123
4444444-8,pedro20,vivienda,ped17@gmail.com,noches123
1111111-6,pedro21,vivienda,ped18@gmail.com,noches123
